Date,PM2.5,PM10,AQI
2015-01-31,67.62228971962617,121.94182242990655,153.74766355140187
2015-02-28,72.23377551020408,115.57423469387757,199.3469387755102
2015-03-31,73.97806451612904,101.30350230414747,190.23041474654377
2015-04-30,64.24766666666667,108.86733333333333,177.73333333333332
2015-05-31,60.90451612903226,120.73294930875578,182.0921658986175
2015-06-30,55.908125000000005,106.85870833333334,158.3875
2015-07-31,42.830201612903224,99.29995967741937,141.46370967741936
2015-08-31,45.544637096774196,103.24189516129033,146.7459677419355
2015-09-30,50.55704166666667,105.07679166666667,152.7125
2015-10-31,87.42153225806452,116.33495967741935,221.2741935483871
2015-11-30,118.40147540983607,128.0607786885246,224.06147540983608
2015-12-31,111.5337275985663,119.23967741935485,205.45878136200716
2016-01-31,123.38767025089606,134.17903225806452,228.11827956989248
2016-02-29,97.08352490421456,118.9628735632184,196.5785440613027
2016-03-31,85.6948028673835,110.09666666666666,171.89605734767025
2016-04-30,71.76207407407406,117.46055555555556,169.5851851851852
2016-05-31,63.54326164874552,101.18222222222222,150.51971326164875
2016-06-30,60.60422222222222,99.12551851851853,139.53333333333333
2016-07-31,44.29512903225806,90.96806451612903,137.34516129032258
2016-08-31,40.862258064516126,90.90745161290323,131.90967741935484
2016-09-30,43.3781,95.10683333333334,134.76
2016-10-31,89.77051612903226,123.26354838709679,199.4516129032258
2016-11-30,136.68796666666665,135.45943333333335,235.44
2016-12-31,125.67474193548387,131.4311612903226,223.6451612903226
2017-01-31,114.27145161290323,121.14987096774193,214.3967741935484
2017-02-28,89.9631914893617,125.000390070922,191.9822695035461
2017-03-31,69.61225806451613,111.07818181818183,158.683284457478
2017-04-30,71.9475366568915,120.18237536656892,165.98533724340177
2017-05-31,77.52284946236558,116.03666666666666,155.6290322580645
2017-06-30,56.732984693877555,98.1885969387755,124.66581632653062
2017-07-31,53.97281105990783,86.04645161290324,105.44700460829493
2017-08-31,42.877972350230415,87.39370967741937,102.32027649769586
2017-09-30,43.94459523809524,94.7231904761905,108.6547619047619
2017-10-31,74.89792626728111,114.33119815668204,172.8732718894009
2017-11-30,109.64927400468383,128.27381733021076,245.3255269320843
2017-12-31,101.9805577689243,126.65181274900398,208.9820717131474
2018-01-31,98.1279127134725,138.91960151802658,227.21821631878558
2018-02-28,83.81355042016807,142.59338235294118,222.07142857142858
2018-03-31,71.21620493358634,132.74339658444023,195.65464895635674
2018-04-30,53.74338983050848,111.76557438794728,152.2391713747646
2018-05-31,55.15833333333333,110.2252329749104,143.78853046594983
2018-06-30,52.07394444444444,105.73281481481482,146.76296296296297
2018-07-31,34.15417562724014,76.23612903225806,104.8853046594982
2018-08-31,36.14329749103943,78.85772401433692,111.88709677419355
2018-09-30,42.12533333333334,84.13850000000001,119.58148148148148
2018-10-31,70.39351254480287,131.3383512544803,189.4605734767025
2018-11-30,94.81735185185185,165.43375925925926,252.90185185185186
2018-12-31,106.48093189964158,171.7720788530466,245.747311827957
2019-01-31,111.82166666666666,176.16216845878137,264.7204301075269
2019-02-28,75.93352030947776,142.84676982591876,197.36750483558995
2019-03-31,59.99154499151103,121.61621392190152,167.28013582342953
2019-04-30,52.390263157894736,113.59166666666667,152.5561403508772
2019-05-31,51.13365025466893,119.75434634974533,144.0118845500849
2019-06-30,40.098268251273346,90.08731748726656,121.82852292020374
2019-07-31,30.986500000000003,73.34867741935484,103.09516129032258
2019-08-31,27.049871999999997,65.14144,103.5744
2019-09-30,30.831708766716197,62.868098068350676,95.38187221396731
2019-10-31,54.59336605890603,93.91119214586256,144.41935483870967
2019-11-30,85.87021739130434,137.91391304347826,192.08840579710144
2019-12-31,84.365301542777,134.55089761570827,183.4712482468443
2020-01-31,75.6000136425648,129.37821282401092,166.69577080491132
2020-02-29,64.53514482758621,123.24056551724138,157.37379310344826
2020-03-31,41.97314070351759,87.28548994974874,110.73743718592965
2020-04-30,31.85053846153846,71.50207692307693,89.12435897435897
2020-05-31,28.51049627791563,71.76931761786601,88.3560794044665
2020-06-30,26.425833333333337,64.55994871794871,78.57179487179488
2020-07-31,28.626153846153844,60.62038461538462,76.0
